SNo,Class Name,GPT3 discription
1,ApplyEyeMakeup,"

ApplyEyeMakeup is an action performed by humans to enhance their eyes and create a more dramatic look. It involves using a variety of makeup products such as eyeshadows, eyeliners, and mascaras, as well as blending and contouring techniques to create a desired effect. The"
2,ApplyLipstick,"

ApplyLipstick is an action performed by humans to enhance the appearance of their lips. It involves applying a colored cosmetic product to the lips, typically with a lip brush or applicator, to add color, texture, and hydration. The type of lip product used can vary from a"
3,Archery,"

Archery is an action performed by humans where a bow and arrow are used to launch arrows at a target. It is an ancient sport that has been around for centuries and is still practiced today. Archery requires a great deal of skill, concentration, and physical strength to be successful. It"
4,BabyCrawling,"

Baby crawling is an action performed by babies and young children as they learn to move around on their hands and knees. It is the first step in learning to walk, as it helps to develop the muscles in the arms, legs, and core that are needed for walking. It also helps with"
5,BalanceBeam,"

BalanceBeam is an action performed by human gymnasts in which they move along a narrow beam while balancing their body. It requires great skill, coordination, and strength to stay on the beam and perform the various poses and movements that are part of the routine. It is a very difficult and"
6,BandMarching,"

Marching is a type of physical activity in which organized groups of people move in a coordinated manner, typically to music. It is often done in parades, during military ceremonies, and at sporting events. Marching usually requires participants to march in step with one another and to keep a steady"
7,BaseballPitch,"

Baseball pitching is an action performed by a human in which a baseball is thrown from the pitcher's hand to the catcher's glove. The pitcher's goal is to throw the ball in such a way that the batter cannot hit it. The pitcher must use a combination of speed, accuracy,"
8,Basketball,"

Basketball is a sport played by two teams of five players on a rectangular court. The objective is to shoot a ball through a hoop 18 inches in diameter and 10 feet high mounted to a backboard at each end. The game is played by bouncing the ball on a hard court surface and"
9,BasketballDunk,"

Basketball Dunk is an action performed by a human in which the player jumps up and throws the basketball down through the hoop, usually with one or both hands. It is often performed in an impressive, flashy way as a way of showing off the player's athleticism and skill."
10,BenchPress,"

BenchPress is an exercise in which a person lies on a weight bench and pushes a weight upwards with their arms. It is a compound exercise that primarily works the chest, shoulders, and triceps. It is a popular exercise used for strength training and muscle building."
11,Biking,"

Biking is an activity that involves riding a bicycle, typically for recreational or transportation purposes. It can be done on roads, trails, or other off-road areas. Biking is a great way to get exercise and explore the outdoors. It is also an efficient way to get around town"
12,Billiards,"

Billiards is a game of skill and precision played on a table covered with a felt cloth. Players use a cue stick to hit balls around the table, with the goal of pocketing the balls in the designated pockets. It requires a combination of physical and mental skill, as players must"
13,BlowDryHair,"

BlowDryHair is a styling technique used to dry and style the hair by using a blow dryer with a nozzle attachment to direct the airflow of the dryer. It is usually done after washing the hair to help set the style and give the hair a smooth, shiny finish"
14,BlowingCandles,"

BlowingCandles is an action performed by humans, usually at a birthday celebration, in which a person blows out the candles on a cake that has been lit. The act of blowing out the candles is said to make a wish come true."
15,BodyWeightSquats,"

Body weight squats are an exercise performed by humans that involve using the body's own weight as resistance. The exercise involves standing with the feet shoulder-width apart and then bending the knees and lowering the hips until the thighs are parallel to the floor. The individual then stands back up, pushing through"
16,Bowling,"

Bowling is a sport or recreational activity in which a player rolls a ball down a lane in an attempt to knock down pins arranged in a triangle at the end of the lane. The game is usually played with 10 pins, but variations exist with up to 12 pins. The goal of the"
17,BoxingPunchingBag,"

Boxing Punching Bag is an action performed by a human to practice and improve their boxing skills. It involves punching a bag with either bare fists or boxing gloves. This can be done to improve hand-eye coordination, technique, power, and endurance. Punching bags come in various shapes"
18,BoxingSpeedBag,"

Boxing Speed Bag is an action performed by a person using a small, weighted punching bag suspended from a ceiling or wall-mounted apparatus. The purpose of this action is to improve the speed and accuracy of the person's punches by providing an unpredictable and ever-changing target. The bag moves"
19,BreastStroke,"

Breaststroke is a swimming stroke that involves a simultaneous forward and backward motion of the arms and legs, with the arms pulling back and forth in the water while the legs move in a circular motion. It is the slowest of the four competitive swimming strokes, but it is also the most"
20,BrushingTeeth,"

Brushing teeth is an action performed by humans to clean the teeth and remove plaque and food particles from the teeth and gums. It is usually done with a toothbrush and toothpaste. Brushing teeth helps remove bacteria and plaque from the mouth, preventing tooth decay and gum disease."
21,CleanAndJerk,"

Clean and jerk is an Olympic weightlifting exercise that involves lifting a barbell from the floor to an overhead position in one continuous movement. It consists of two separate movements: the clean, in which the lifter brings the barbell up to the shoulders, and the jerk, in which the"
